,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.3549034361675445,f1,1.8800632953643799,291.78080892562866,0.004002571105957031,3.5282931327819824,2,True,81
1,NeuralNetFastAI_r11_BAG_L1,0.34071024189397836,f1,0.7160577774047852,79.06685519218445,0.7160577774047852,79.06685519218445,1,True,34
2,NeuralNetFastAI_r156_BAG_L1,0.3380150899593732,f1,0.22385740280151367,11.707429885864258,0.22385740280151367,11.707429885864258,1,True,43
3,NeuralNetFastAI_r134_BAG_L1,0.33716300762143103,f1,0.5143449306488037,33.04317617416382,0.5143449306488037,33.04317617416382,1,True,59
4,NeuralNetFastAI_r65_BAG_L1,0.33608815426997246,f1,0.21612071990966797,12.08695387840271,0.21612071990966797,12.08695387840271,1,True,67
5,NeuralNetFastAI_BAG_L1,0.3130022394941378,f1,0.3065683841705322,16.63422703742981,0.3065683841705322,16.63422703742981,1,True,10
6,NeuralNetFastAI_r103_BAG_L1,0.30164563029237895,f1,0.3377523422241211,34.350876331329346,0.3377523422241211,34.350876331329346,1,True,38
7,NeuralNetFastAI_r191_BAG_L1,0.2996760259179266,f1,0.5265524387359619,39.50384712219238,0.5265524387359619,39.50384712219238,1,True,17
8,NeuralNetFastAI_r111_BAG_L1,0.2866496907966533,f1,0.23645472526550293,14.015387296676636,0.23645472526550293,14.015387296676636,1,True,64
9,NeuralNetFastAI_r145_BAG_L1,0.2780022628091159,f1,0.6060748100280762,39.3897602558136,0.6060748100280762,39.3897602558136,1,True,28
10,NeuralNetTorch_r197_BAG_L1,0.26995179432244243,f1,0.1852707862854004,38.40885877609253,0.1852707862854004,38.40885877609253,1,True,54
11,NeuralNetFastAI_r37_BAG_L1,0.2658252810096628,f1,0.30740880966186523,16.865541458129883,0.30740880966186523,16.865541458129883,1,True,53
12,NeuralNetTorch_r86_BAG_L1,0.2656482861400894,f1,0.22299718856811523,91.56686305999756,0.22299718856811523,91.56686305999756,1,True,32
13,NeuralNetTorch_BAG_L1,0.261132882080513,f1,0.20567989349365234,152.34810066223145,0.20567989349365234,152.34810066223145,1,True,12
14,NeuralNetTorch_r14_BAG_L1,0.2591078727563533,f1,0.17785167694091797,69.65686559677124,0.17785167694091797,69.65686559677124,1,True,39
15,NeuralNetFastAI_r88_BAG_L1,0.2521042084168337,f1,0.20640206336975098,15.74862003326416,0.20640206336975098,15.74862003326416,1,True,68
16,NeuralNetFastAI_r102_BAG_L1,0.2497376705141658,f1,0.21389245986938477,9.999170064926147,0.21389245986938477,9.999170064926147,1,True,24
